Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
14.648		-556.5		0.010		2.7		0.0079		162.6		-5.8						
14.746		-559.6		0.004		4.0		0.0109		163.2		-2.3						
14.844		-557.4		-0.006		4.0		0.0094		162.9		3.5						
14.941		-561.3		-0.002		2.7		0.0079		162.6		1.2						
15.039		-557.4		0.002		2.7		0.0094		162.8		-1.2						
15.137		-557.4		-0.004		2.7		0.0094		162.8		2.3						
15.234		-554.3		0.000		5.3		0.0094		163.1		0.0						
15.332		-550.0		-0.002		2.7		0.0079		162.6		1.2						
15.430		-545.7		0.000		1.4		0.0094		162.6		0.0						
15.527		-542.6		0.004		2.7		0.0125		163.2		-2.3						
15.625		-537.0		-0.002		5.3		0.0109		163.3		1.1						
15.723		-535.2		0.000		5.3		0.0079		162.9		0.0						
15.820		-527.4		-0.004		0.2		0.0063		162.0		2.2						
15.918		-518.7		-0.008		4.0		0.0109		163.2		4.4						
16.016		-512.6		-0.010		6.5		0.0094		163.2		5.4						
16.113		-507.0		0.008		5.3		0.0109		163.3		-4.3						
16.211		-492.6		-0.004		5.3		0.0094		163.1		2.1						
16.309		-487.4		0.006		2.7		0.0063		162.3		-3.1						
16.406		-480.4		-0.013		4.0		0.0094		162.9		6.1						
16.504		-467.0		0.000		4.0		0.0125		163.4		0.0						
16.602		-462.6		-0.006		6.5		0.0094		163.2		2.9						
16.699		-453.0		0.004		2.7		0.0063		162.3		-1.9						
16.797		-441.7		-0.006		2.7		0.0109		163.0		2.8						
16.895		-430.9		-0.013		4.0		0.0094		162.9		5.4						
16.992		-423.0		0.002		4.0		0.0063		162.5		-0.9						
17.090		-411.7		0.000		2.7		0.0094		162.8		0.0						
17.188		-400.0		0.006		2.7		0.0109		163.0		-2.5						
17.285		-390.0		0.006		4.0		0.0109		163.2		-2.5						
17.383		-383.5		-0.004		4.0		0.0094		162.9		1.6						
17.480		-375.2		-0.006		2.7		0.0094		162.8		2.4						
17.578		-366.5		0.000		4.0		0.0109		163.2		0.0						
17.676		-356.1		-0.002		20.6		0.0125		165.3		0.7						
17.773		-344.3		0.006		18.0		0.0063		164.1		-2.2						
17.871		-335.2		-0.013		14.2		0.0094		164.1		4.2						
17.969		-323.5		-0.006		18.0		0.0079		164.4		2.0						
18.066		-308.3		0.002		21.8		0.0109		165.3		-0.6						
18.164		-293.5		-0.004		16.7		0.0109		164.7		1.2						
18.262		-279.6		0.006		18.0		0.0094		164.6		-1.8						
18.359		-263.5		-0.002		16.7		0.0079		164.2		0.6						
18.457		-248.3		0.008		15.5		0.0109		164.5		-2.1						
18.555		-231.3		0.004		19.3		0.0125		165.2		-1.0						
