Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
15.918		-518.7		-0.357		3.9		-0.0016		148.70		185.2						
16.016		-514.8		-0.357		3.9		0.0015		149.16		183.8						
16.113		-505.2		-0.365		5.1		0.0030		149.52		184.6						
16.211		-493.0		-0.395		9.0		0.0015		149.70		194.6						
16.309		-484.3		-0.409		3.9		-0.0016		148.70		198.3						
16.406		-477.0		-0.405		15.4		0.0030		150.59		193.3						
16.504		-467.0		-0.424		6.4		-0.0001		149.20		198.1						
16.602		-460.0		-0.441		3.9		-0.0016		148.70		202.8						
16.699		-450.9		-0.454		5.1		0.0015		149.29		204.5						
16.797		-440.4		-0.468		5.1		0.0015		149.29		206.2						
16.895		-435.7		-0.481		6.4		0.0030		149.66		209.5						
16.992		-421.3		-0.479		5.1		-0.0001		149.07		201.7						
17.090		-409.1		-0.489		3.9		-0.0001		148.93		200.2						
17.188		-403.0		-0.493		3.9		0.0015		149.16		198.9						
17.285		-392.6		-0.517		7.7		0.0030		149.79		202.8						
17.383		-381.7		-0.517		7.7		-0.0001		149.33		197.2						
17.480		-376.5		-0.533		3.9		-0.0016		148.70		200.8						
17.578		-362.2		-0.548		3.9		-0.0001		148.93		198.5						
17.676		-351.3		-0.571		9.0		-0.0001		149.47		200.6						
17.773		-343.0		-0.575		6.4		0.0015		149.43		197.4						
17.871		-332.2		-0.594		5.1		-0.0001		149.07		197.4						
17.969		-319.1		-0.601		5.1		-0.0001		149.07		191.6						
18.066		-307.8		-0.613		3.9		0.0015		149.16		188.7						
18.164		-295.2		-0.624		5.1		0.0030		149.52		184.1						
18.262		-277.8		-0.632		7.7		0.0015		149.56		175.6						
18.359		-261.7		-0.640		3.9		-0.0047		148.25		167.6						
18.457		-244.3		-0.655		1.3		0.0015		148.89		160.1						
18.555		-231.7		-0.649		6.4		0.0015		149.43		150.4						
18.652		-216.1		-0.674		5.1		-0.0001		149.07		145.6						
18.750		-199.6		-0.661		3.9		-0.0001		148.93		132.0						
18.848		-183.9		-0.655		6.4		0.0015		149.43		120.5						
18.945		-167.4		-0.661		5.1		0.0015		149.29		110.7						
19.043		-147.8		-0.655		5.1		-0.0001		149.07		96.8						
19.141		-136.1		-0.666		5.1		0.0015		149.29		90.6						
19.238		-121.3		-0.666		3.9		0.0015		149.16		80.7						
19.336		-104.8		-0.668		5.1		0.0015		149.29		70.0						
19.434		-88.7		-0.655		5.1		-0.0001		149.07		58.1						
19.531		-72.6		-0.655		2.6		-0.0031		148.34		47.6						
19.629		-52.2		-0.647		0.0		0.0015		148.76		33.7						
19.727		-30.0		-0.649		2.6		-0.0001		148.80		19.5						
19.824		-16.1		-0.645		-1.2		0.0015		148.63		10.4						
19.922		6.5		-0.634		1.3		0.0015		148.89		-4.1						
20.020		24.3		-0.619		-2.5		-0.0016		148.04		-15.1						
20.117		44.8		-0.615		-2.5		-0.0001		148.26		-27.6						
20.215		68.7		-0.601		1.3		0.0030		149.12		-41.3						
20.313		84.3		-0.588		2.6		0.0015		149.03		-49.6						
20.410		105.7		-0.577		-1.2		-0.0031		147.94		-61.0						
20.508		121.7		-0.582		-2.5		-0.0001		148.26		-70.8						
20.605		138.7		-0.565		0.0		0.0015		148.76		-78.3						
20.703		157.4		-0.559		-1.2		-0.0001		148.40		-87.9						
20.801		174.3		-0.544		0.0		-0.0001		148.53		-94.8						
20.898		188.3		-0.548		-1.2		0.0015		148.63		-103.2						
20.996		202.2		-0.523		-1.2		-0.0001		148.40		-105.7						
21.094		219.6		-0.514		0.0		-0.0001		148.53		-113.0						
21.191		232.2		-0.502		-1.2		-0.0016		148.17		-116.5						
21.289		247.8		-0.506		-1.2		-0.0001		148.40		-125.4						
21.387		262.2		-0.487		2.6		0.0015		149.03		-127.7						
21.484		276.5		-0.464		1.3		-0.0016		148.44		-128.3						
21.582		287.0		-0.464		-3.8		-0.0031		147.68		-133.2						
21.680		300.9		-0.447		-2.5		-0.0001		148.26		-134.6						
21.777		312.6		-0.449		-1.2		-0.0016		148.17		-140.5						
21.875		324.8		-0.426		-2.5		0.0015		148.49		-138.4						
21.973		333.0		-0.416		-1.2		0.0015		148.63		-138.5						
22.070		347.8		-0.409		-2.5		-0.0016		148.04		-142.4						
22.168		359.1		-0.395		-2.5		-0.0016		148.04		-141.8						
22.266		370.0		-0.391		-2.5		-0.0001		148.26		-144.5						
22.363		378.3		-0.355		2.6		0.0015		149.03		-134.2						
22.461		387.0		-0.330		-3.8		-0.0062		147.22		-127.6						
22.559		398.3		-0.338		-1.2		-0.0001		148.40		-134.6						
22.656		409.1		-0.307		-1.2		0.0015		148.63		-125.4						
22.754		420.4		-0.300		-1.2		-0.0016		148.17		-126.2						
22.852		427.4		-0.288		-3.8		-0.0016		147.90		-122.9						
22.949		442.6		-0.256		-1.2		-0.0001		148.40		-113.4						
23.047		450.0		-0.244		-1.2		-0.0001		148.40		-109.6						
23.145		461.3		-0.231		-1.2		-0.0016		148.17		-106.5						
23.242		471.7		-0.218		-2.5		-0.0001		148.26		-103.0						
23.340		479.1		-0.197		-2.5		0.0015		148.49		-94.6						
23.438		490.9		-0.170		0.0		0.0015		148.76		-83.5						
23.535		499.1		-0.164		-1.2		-0.0016		148.17		-81.7						
23.633		513.0		-0.149		-3.8		-0.0031		147.68		-76.5						
23.730		520.0		-0.128		-2.5		0.0030		148.72		-66.6						
23.828		528.3		-0.090		-2.5		-0.0031		147.81		-47.7						
23.926		539.1		-0.065		-1.2		0.0015		148.63		-35.1						
24.023		542.2		-0.046		-1.2		-0.0001		148.40		-25.0						
24.121		548.3		-0.027		-2.5		-0.0047		147.58		-15.0						
24.219		548.7		-0.006		-3.8		0.0030		148.58		-3.5						
24.316		555.7		0.019		-1.2		0.0061		149.31		10.5						
24.414		560.0		0.038		1.3		0.0061		149.58		21.2						
24.512		554.8		0.061		-2.5		-0.0031		147.81		33.8						
24.609		556.5		0.084		-3.8		0.0045		148.81		46.7						
24.707		559.1		0.111		-1.2		0.0045		149.08		62.2						
24.805		560.0		0.130		-1.2		0.0030		148.85		72.9						
24.902		559.6		0.155		-2.5		0.0015		148.49		86.9						
25.000		556.5		0.160		-1.2		0.0045		149.08		88.8						
25.098		555.7		0.199		-1.2		0.0030		148.85		110.8						
25.195		550.4		0.218		0.0		0.0030		148.99		120.2						
25.293		548.7		0.235		-2.5		0.0030		148.72		129.0						
25.391		542.2		0.254		-2.5		0.0045		148.95		137.7						
25.488		539.6		0.258		0.0		0.0061		149.44		139.4						
25.586		537.0		0.292		0.0		0.0030		148.99		156.7						
25.684		534.3		0.311		-3.8		-0.0001		148.13		166.1						
25.781		526.1		0.328		-1.2		0.0076		149.54		172.3						
25.879		517.4		0.340		0.0		0.0030		148.99		176.0						
25.977		510.4		0.357		-1.2		0.0061		149.31		182.2						
26.074		497.4		0.384		0.0		0.0045		149.21		191.1						
26.172		493.5		0.391		0.0		0.0030		148.99		192.7						
26.270		484.8		0.391		-3.8		0.0045		148.81		189.3						
