Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
45.117		492.2		1.132		2.3		0.0031		15.4		557.0						
45.215		491.7		1.203		3.6		0.0031		15.7		591.6						
45.313		488.3		1.266		2.3		0.0031		15.4		618.2						
45.410		486.1		1.306		1.0		0.0031		15.0		634.8						
45.508		483.5		1.386		1.0		0.0046		15.0		670.0						
45.605		480.9		1.449		1.0		0.0031		15.0		696.7						
45.703		476.5		1.497		1.0		0.0015		15.0		713.4						
45.801		474.3		1.583		-0.3		0.0031		14.7		751.0						
45.898		469.6		1.665		3.6		0.0061		15.7		781.9						
45.996		460.9		1.711		4.8		0.0046		16.1		788.7						
46.094		457.0		1.768		-0.3		-0.0015		14.6		807.9						
46.191		448.7		1.812		-10.5		0.0031		11.9		813.1						
46.289		442.2		1.869		2.3		0.0046		15.4		826.3						
46.387		435.7		1.928		2.3		0.0015		15.3		839.7						
46.484		426.1		1.972		2.3		0.0031		15.4		840.1						
46.582		421.7		2.030		2.3		0.0046		15.4		856.3						
46.680		413.5		2.077		2.3		0.0046		15.4		858.6						
46.777		404.8		2.125		3.6		0.0015		15.7		860.1						
46.875		395.7		2.156		1.0		-0.0046		15.0		853.2						
46.973		386.5		2.222		-2.8		-0.0123		13.9		858.7						
47.070		380.4		2.257		-14.3		0.0000		10.9		858.7						
47.168		367.0		2.280		2.3		0.0046		15.4		836.8						
47.266		361.3		2.308		2.3		0.0031		15.4		833.8						
47.363		353.5		2.360		1.0		0.0031		15.0		834.2						
47.461		342.6		2.396		2.3		0.0031		15.4		820.8						
47.559		336.1		2.421		3.6		0.0061		15.7		813.7						
47.656		327.0		2.461		3.6		0.0046		15.7		804.6						
47.754		321.7		2.490		2.3		0.0031		15.4		801.2						
47.852		311.7		2.524		1.0		0.0046		15.0		786.8						
47.949		301.7		2.543		3.6		0.0061		15.7		767.3						
48.047		287.4		2.572		4.8		0.0031		16.0		739.2						
48.145		278.7		2.595		-0.3		-0.0015		14.6		723.3						
48.242		269.6		2.616		1.0		0.0031		15.0		705.3						
48.340		255.7		2.633		1.0		0.0031		15.0		673.2						
48.438		245.7		2.625		3.6		0.0015		15.7		644.8						
48.535		232.6		2.667		1.0		0.0015		15.0		620.3						
48.633		216.1		2.665		1.0		0.0031		15.0		575.8						
48.730		203.5		2.677		3.6		0.0046		15.7		544.7						
48.828		190.4		2.660		4.8		0.0015		16.0		506.6						
48.926		173.9		2.654		-0.3		-0.0061		14.6		461.6						
49.023		159.6		2.637		-1.5		-0.0107		14.3		420.8						
49.121		143.9		2.639		-11.8		-0.0215		11.5		379.8						
49.219		133.0		2.625		1.0		0.0031		15.0		349.2						
49.316		116.1		2.599		1.0		0.0046		15.0		301.8						
49.414		106.1		2.587		2.3		0.0031		15.4		274.4						
49.512		92.2		2.570		2.3		0.0031		15.4		236.9						
49.609		80.9		2.547		1.0		0.0031		15.0		206.0						
49.707		63.0		2.518		1.0		0.0031		15.0		158.7						
49.805		50.4		2.480		1.0		0.0000		15.0		125.1						
49.902		28.7		2.465		-1.5		0.0046		14.3		70.7						
