Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
41.797		167.8		-0.487		-0.3		-0.0023		79.1		-81.8						
41.895		178.7		-0.462		1.0		-0.0007		79.4		-82.5						
41.992		179.1		-0.447		-0.3		-0.0038		79.0		-80.1						
42.090		187.4		-0.416		-0.3		-0.0053		78.8		-77.9						
42.188		194.3		-0.393		1.0		-0.0023		79.2		-76.3						
42.285		197.8		-0.365		2.2		-0.0038		79.2		-72.3						
42.383		204.8		-0.344		1.0		-0.0053		78.9		-70.5						
42.480		209.1		-0.321		-1.6		-0.0084		78.4		-67.2						
42.578		214.3		-0.279		-0.3		-0.0038		79.0		-59.9						
42.676		220.4		-0.250		1.0		0.0008		79.5		-55.1						
42.773		226.1		-0.218		-0.3		-0.0069		78.7		-49.4						
42.871		229.1		-0.191		-0.3		-0.0069		78.7		-43.8						
42.969		233.9		-0.162		1.0		-0.0053		78.9		-37.8						
43.066		241.3		-0.143		2.2		-0.0069		78.9		-34.5						
43.164		245.7		-0.103		-0.3		-0.0069		78.7		-25.3						
43.262		251.7		-0.063		1.0		-0.0023		79.2		-15.9						
43.359		257.0		-0.044		3.5		-0.0038		79.3		-11.3						
43.457		261.3		-0.002		1.0		-0.0007		79.4		-0.5						
43.555		267.4		0.023		-4.1		-0.0038		78.7		6.2						
43.652		270.4		0.059		1.0		-0.0023		79.2		15.9						
43.750		274.3		0.084		-0.3		-0.0023		79.1		23.0						
43.848		276.5		0.113		1.0		-0.0023		79.2		31.4						
43.945		285.7		0.149		-0.3		-0.0007		79.3		42.6						
44.043		288.3		0.185		1.0		-0.0007		79.4		53.3						
44.141		290.0		0.208		-0.3		-0.0038		79.0		60.3						
44.238		291.7		0.239		-0.3		-0.0038		79.0		69.8						
44.336		292.2		0.275		2.2		-0.0007		79.5		80.4						
44.434		293.5		0.302		2.2		-0.0007		79.5		88.7						
44.531		293.0		0.328		-1.6		-0.0053		78.7		96.0						
44.629		292.2		0.353		-0.3		0.0008		79.4		103.1						
44.727		291.7		0.378		3.5		-0.0038		79.3		110.3						
44.824		290.4		0.405		-0.3		-0.0023		79.1		117.7						
44.922		290.9		0.435		1.0		-0.0023		79.2		126.4						
45.020		291.3		0.466		1.0		-0.0007		79.4		135.8						
45.117		290.4		0.493		1.0		-0.0023		79.2		143.3						
45.215		288.7		0.504		-0.3		-0.0023		79.1		145.5						
45.313		285.7		0.535		-0.3		0.0008		79.4		152.9						
45.410		287.4		0.559		3.5		0.0008		79.8		160.5						
45.508		280.4		0.577		2.2		-0.0007		79.5		161.9						
45.605		281.3		0.611		-2.9		-0.0007		79.1		171.9						
45.703		275.2		0.622		2.2		-0.0007		79.5		171.1						
45.801		272.6		0.645		1.0		-0.0023		79.2		175.7						
45.898		267.4		0.672		-0.3		-0.0023		79.1		179.7						
45.996		266.1		0.693		1.0		-0.0007		79.4		184.4						
46.094		260.4		0.714		2.2		-0.0023		79.3		185.9						
46.191		255.7		0.720		1.0		-0.0023		79.2		184.1						
46.289		251.3		0.739		-1.6		-0.0007		79.2		185.7						
46.387		247.0		0.764		2.2		0.0008		79.7		188.8						
46.484		243.5		0.785		3.5		-0.0023		79.5		191.2						
46.582		237.4		0.796		-0.3		-0.0038		79.0		188.9						
46.680		234.8		0.817		-1.6		0.0008		79.3		191.8						
46.777		226.5		0.829		4.8		0.0008		79.9		187.9						
46.875		218.7		0.840		1.0		-0.0038		79.1		183.7						
46.973		216.1		0.859		1.0		-0.0023		79.2		185.6						
47.070		211.7		0.861		3.5		0.0008		79.8		182.3						
47.168		205.2		0.882		3.5		-0.0023		79.5		181.0						
47.266		200.9		0.903		1.0		-0.0023		79.2		181.4						
47.363		198.7		0.911		-0.3		0.0008		79.4		181.1						
47.461		191.3		0.920		3.5		0.0008		79.8		175.9						
47.559		188.3		0.930		3.5		-0.0007		79.6		175.1						
47.656		179.6		0.949		-1.6		-0.0007		79.2		170.4						
47.754		176.1		0.941		2.2		-0.0007		79.5		165.6						
47.852		165.7		0.968		1.0		-0.0023		79.2		160.3						
47.949		161.7		0.972		1.0		-0.0007		79.4		157.2						
48.047		154.3		0.978		1.0		0.0008		79.5		151.0						
48.145		148.3		0.978		2.2		-0.0007		79.5		145.1						
48.242		140.0		0.993		2.2		-0.0023		79.3		139.0						
48.340		131.7		0.991		-0.3		-0.0023		79.1		130.6						
48.438		123.5		0.978		3.5		0.0008		79.8		120.8						
48.535		117.0		0.999		3.5		-0.0023		79.5		116.9						
48.633		106.1		0.993		1.0		-0.0038		79.1		105.4						
48.730		97.0		0.976		-1.6		-0.0007		79.2		94.7						
48.828		87.4		0.981		1.0		0.0008		79.5		85.7						
48.926		79.1		0.985		1.0		-0.0023		79.2		77.9						
49.023		67.8		0.974		-0.3		-0.0023		79.1		66.1						
49.121		62.2		0.970		2.2		-0.0007		79.5		60.3						
49.219		55.7		0.941		2.2		-0.0023		79.3		52.4						
49.316		47.0		0.945		-0.3		-0.0038		79.0		44.4						
49.414		38.3		0.924		-0.3		-0.0007		79.3		35.3						
49.512		27.8		0.920		3.5		-0.0007		79.6		25.6						
49.609		18.7		0.892		1.0		-0.0023		79.2		16.7						
49.707		8.7		0.894		-2.9		-0.0023		78.9		7.8						
49.805		0.4		0.867		2.2		-0.0007		79.5		0.4						
49.902		-12.2		0.852		-0.3		-0.0038		79.0		-10.4						
