Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
31.055		-189.1		1.134		1.7		0.0024		236.1		-214.4						
31.152		-200.0		1.102		0.4		-0.0006		235.5		-220.5						
31.250		-212.2		1.052		1.7		0.0009		236.0		-223.2						
31.348		-224.3		1.033		1.7		0.0009		236.0		-231.8						
31.445		-235.7		0.978		2.9		-0.0006		236.2		-230.6						
31.543		-248.7		0.930		0.4		-0.0006		235.5		-231.3						
31.641		-263.9		0.897		1.7		0.0024		236.1		-236.6						
31.738		-270.4		0.846		2.9		0.0009		236.3		-228.8						
31.836		-283.0		0.804		0.4		-0.0037		235.2		-227.6						
31.934		-294.8		0.758		-3.5		-0.0006		234.5		-223.4						
32.031		-301.7		0.714		-2.2		-0.0098		234.0		-215.4						
32.129		-313.5		0.659		4.2		0.0009		236.7		-206.7						
32.227		-322.6		0.613		-3.5		-0.0006		234.5		-197.8						
32.324		-331.3		0.546		-3.5		0.0009		234.6		-180.9						
32.422		-339.6		0.500		-2.2		0.0024		235.1		-169.7						
32.520		-347.4		0.445		-0.9		0.0009		235.3		-154.6						
32.617		-360.9		0.386		-3.5		0.0009		234.6		-139.4						
32.715		-369.6		0.330		-2.2		0.0040		235.2		-121.8						
32.813		-378.7		0.288		-0.9		0.0040		235.6		-108.9						
32.910		-389.6		0.227		-0.9		0.0040		235.6		-88.3						
33.008		-396.5		0.166		-4.7		0.0070		234.8		-65.8						
33.105		-404.8		0.115		-2.2		0.0055		235.4		-46.7						
33.203		-415.2		0.044		-2.2		0.0055		235.4		-18.3						
33.301		-423.0		-0.015		-3.5		0.0070		235.2		6.2						
33.398		-432.6		-0.065		-2.2		0.0024		235.1		28.2						
33.496		-437.8		-0.130		-2.2		0.0009		234.9		57.0						
33.594		-450.0		-0.189		-3.5		0.0009		234.6		85.0						
33.691		-459.1		-0.231		-0.9		0.0024		235.4		106.0						
33.789		-465.2		-0.300		-0.9		0.0009		235.3		139.7						
33.887		-471.3		-0.353		-3.5		-0.0022		234.3		166.3						
33.984		-478.7		-0.409		-7.3		0.0009		233.6		196.0						
34.082		-484.8		-0.472		0.4		-0.0068		234.9		229.0						
34.180		-490.0		-0.523		-91.5		0.0024		210.8		256.2						
34.277		-491.3		-0.573		-2.2		0.0040		235.2		281.6						
34.375		-496.5		-0.634		-0.9		0.0040		235.6		314.9						
34.473		-499.6		-0.687		-2.2		0.0040		235.2		343.0						
34.570		-495.7		-0.731		-0.9		0.0024		235.4		362.2						
34.668		-498.7		-0.781		-4.7		0.0009		234.3		389.5						
34.766		-497.0		-0.825		-3.5		0.0055		235.0		410.1						
34.863		-494.8		-0.865		0.4		0.0086		236.3		428.0						
34.961		-497.4		-0.924		0.4		0.0055		236.1		459.5						
35.059		-496.5		-0.972		-2.2		0.0040		235.2		482.7						
35.156		-489.6		-1.025		0.4		0.0040		235.9		501.6						
35.254		-491.7		-1.069		-2.2		0.0024		235.1		525.6						
35.352		-487.8		-1.123		-2.2		0.0040		235.2		548.0						
35.449		-488.3		-1.151		-0.9		0.0024		235.4		561.8						
35.547		-481.3		-1.201		-2.2		0.0009		234.9		578.1						
35.645		-474.3		-1.239		-3.5		0.0009		234.6		587.6						
35.742		-468.3		-1.287		-2.2		0.0040		235.2		602.7						
35.840		-463.0		-1.323		0.4		0.0040		235.9		612.5						
35.938		-458.7		-1.363		-2.2		-0.0022		234.7		625.1						
36.035		-466.1		-1.390		-7.3		-0.0052		233.0		647.9						
36.133		-443.5		-1.424		-6.0		-0.0420		230.0		631.3						
36.230		-433.0		-1.472		-94.1		0.0024		210.2		637.4						
36.328		-426.5		-1.491		-2.2		0.0024		235.1		635.9						
36.426		-417.8		-1.531		-2.2		0.0055		235.4		639.6						
36.523		-412.2		-1.564		-0.9		0.0055		235.7		644.8						
36.621		-404.8		-1.558		-0.9		0.0040		235.6		630.7						
