Time,E1,I1,E2,I2,E3,I3,AI8,Pm,Torque,Category
92.77,-515.2,-0.22,-120.3,1.87,-391.3,-1.07,1023.5,322.4,3,Over Current
93.75,-537.8,-0.78,-269.7,1.88,-265.7,-0.78,1022.2,322.1,3,Over Current
94.73,-514.8,-1.37,-385.2,1.66,-120.9,-0.36,1022.2,321.6,3,Over Current
95.7,-437.4,-1.76,-479.5,1.33,45.7,0.13,1022.2,322,3,Over Current
96.68,-334.8,-1.91,-545.9,1,217.4,0.65,1020.9,321.9,3,Over Current
97.66,-192.2,-1.88,-531.6,0.56,339.6,1.14,1019.7,321.2,3,Over Current
98.63,-38.3,-1.53,-480.8,0.12,448.7,1.63,1020.9,321.7,3,Over Current
99.61,144.8,-1.19,-382.6,-0.41,529.1,1.81,1020.9,321.6,3,Over Current
100.59,289.1,-0.82,-247.6,-0.91,535.7,1.81,1018.4,320.7,3,Over Current
101.56,405.7,-0.39,-98.6,-1.51,501.3,1.49,1018.4,320.7,3,Over Current
102.54,496.5,0.09,76,-1.85,419.6,1.15,1018.4,320.1,3,Over Current
103.52,537,0.64,238.9,-1.93,303.5,0.84,1018.4,320.1,3,Over Current
104.49,520.4,1.24,361.3,-1.73,157.8,0.49,958.4,301.6,3,Over Current
105.47,455.2,1.67,460.8,-1.42,1.7,0,1019.7,320.7,3,Over Current
106.45,360.9,1.86,540.3,-1.09,-172.2,-0.58,1003.1,309.5,3,Over Current
107.42,223,1.95,535.5,-0.62,-307.4,-0.98,1018.4,320.3,3,Over Current
108.4,75.2,1.58,493.8,-0.25,-414.8,-1.56,1013.3,318.2,3,Over Current
109.38,-104.8,1.26,402.2,0.28,-505.2,-1.8,1017.1,319.7,3,Over Current
110.35,-267,0.89,271.9,0.81,-532.2,-1.83,1017.1,319.7,3,Over Current
111.33,-379.1,0.49,129,1.4,-503.9,-1.57,1015.8,319.8,3,Over Current
112.31,-479.6,0,-39.5,1.79,-433.5,-1.21,1015.8,319.5,3,Over Current
113.28,-547.8,-0.53,-213.2,1.94,-329.6,-0.9,1014.5,319.4,3,Over Current
114.26,-534.8,-1.13,-339.2,1.78,-185.7,-0.55,1013.3,318.8,3,Over Current
115.23,-475.7,-1.63,-441.7,1.49,-27,-0.09,1015.8,319.5,3,Over Current
116.21,-381.7,-1.81,-524.6,1.17,147,0.46,1015.8,319.8,3,Over Current
117.19,-260.9,-1.98,-545.9,0.72,291.3,0.89,1015.8,319.5,3,Over Current
118.16,-106.5,-1.67,-510.7,0.32,401.3,1.47,1015.8,319.6,3,Over Current
119.14,64.8,-1.35,-423,-0.18,493.9,1.75,1013.3,318.5,3,Over Current
120.12,238.3,-0.98,-304.9,-0.7,540.9,1.86,1013.3,318.7,3,Over Current
121.09,354.8,-0.6,-168.5,-1.28,523.5,1.66,1017.1,319.7,3,Over Current
122.07,458.3,-0.13,-6.1,-1.75,460.4,1.31,1015.8,319.1,3,Over Current
123.05,538.7,0.41,178.9,-1.93,360.4,0.97,1015.8,319.3,3,Over Current
124.02,533.5,0.98,309.2,-1.85,228.3,0.65,1015.8,319.3,3,Over Current
125,491.7,1.52,416.5,-1.57,74.3,0.22,998,305.5,3,Over Current
125.98,403.5,1.78,509.4,-1.25,-101.7,-0.31,1014.5,318.7,3,Over Current
126.95,292.6,1.98,555,-0.84,-258.7,-0.77,1008.2,314.6,3,Over Current
127.93,136.5,1.73,512.9,-0.46,-372.6,-1.36,1017.1,319.5,3,Over Current
128.91,-25.2,1.42,441.3,0.04,-465.2,-1.72,1014.5,318.2,3,Over Current
